SMILES,CP
CCCCCCOCCOCCOCCO,40.5
CCCCCCOCCOCCOCCOCCO,63.8
CCCCCCOCCOCCOCCOCCOCCO,75
CCCCCCOCCOCCOCCOCCOCCOCCO,83
CCCCCCCCOCCOCCOCCO,7
CCCCCCCCOCCOCCOCCOCCO,38.5
CCCCCCCCOCCOCCOCCOCCOCCO,58.6
CCCCCCCCOCCOCCOCCOCCOCCOCCO,72.5
CCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,96
CCCCCCCCCOCCOCCOCCOCCO,32
CCCCCCCCCOCCOCCOCCOCCOCCO,55
CCCCCCCCCOCCOCCOCCOCCOCCOCCO,75
CCCCCCCCCCOCCOCCOCCOCCO,19.7
CCCCCCCCCCOCCOCCOCCOCCOCCO,41.6
CCCCCCCCCCOCCOCCOCCOCCOCCOCCO,60.3
CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,84.5
CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,95
CCCCCCCCCCCOCCOCCOCCOCCO,10.5
CCCCCCCCCCCOCCOCCOCCOCCOCCO,37
CCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,57.5
CCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,82
CCCCCCCCCCCCOCCOCCOCCOCCO,6
CCCCCCCCCCCCOCCOCCOCCOCCOCCO,28.9
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,51
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,64.7
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,77.9
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,87.8
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,95.5
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,100.3
CCCCCCCCCCCCCOCCOCCOCCOCCOCCO,27
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,42
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,72.5
CCCCCCCCCCCCCCOCCOCCOCCOCCOCCO,20
CCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,42.3
CCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,57.6
CCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,70.5
CCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,37.5
CCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,66
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,35.5
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,54
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,65
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,75
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,92
