SMILES,KV
CCC,0.1858
CCCC,0.2586
CCCCC,0.3397
CCCCCC,0.4095
CCCCCCC,0.505
CCCCCCCC,0.6372
CCCCCCCCC,0.807
CCCCCCCCCC,1.013
CCCCCCCCCCC,1.258
CCCCCCCCCCCC,1.5446
CCCCCCCCCCCCC,1.7546
CCCCCCCCCCCCCC,2.2511
CCCCCCCCCCCCCCC,2.4916
CCCCCCCCCCCCCCCC,2.9193
CCCCCCCCCCCCCCCCC,3.5813
CCCCCCCCCCCCCCCCCC,4.1314
CCCCCCCCCCCCCCCCCCC,4.699
CCCCCCCCCCCCCCCCCCCC,5.3926
CC(C)C,0.2773
CCC(C)C,0.3175
CCCC(C)C,0.3914
CCC(C)CC,0.3925
CCC(C)(C)C,0.4719
CC(C)C(C)C,0.4443
CCCCC(C)C,0.4764
CCCC(C)CC,0.4479
CCC(CC)CC,0.441
CCCC(C)(C)C,0.5361
CCC(C)C(C)C,0.533
CC(C)CC(C)C,0.5265
CCC(C)(C)CC,0.5625
CC(C)C(C)(C)C,0.6928
CCCCCC(C)C,0.5586
CCCCC(C)CC,0.5501
CCCC(C)CCC,0.5338
CCCC(CC)CC,0.5335
CCCCC(C)(C)C,0.6235
CCCC(C)C(C)C,0.583
CCC(C)CC(C)C,0.7057
CC(C)CCC(C)C,0.5828
CCCC(C)(C)CC,0.5856
CCC(C)C(C)CC,0.5736
CCC(CC)C(C)C,0.5286
CCC(C)C(C)(C)C,0.6794
CC(C)CC(C)(C)C,0.6033
CCC(C)(C)C(C)C,0.7021
CC(C)C(C)C(C)C,0.6823
CCCCCCC(C)C,0.6582
CCCCCC(C)CC,0.6514
CCCCC(C)CCC,0.6518
CC(C)CCC(C)(C)C,1.3067
CCC(CC)(CC)CC,1.5876
CCC(C)(C)C(C)(C)C,0.8146
CC(C)C(C)C(C)(C)C,0.8119
CC(C)(C)CC(C)(C)C,0.8119
C1CC1,0.2488
C1CCC1,0.3571
C1CCCC1,0.4927
CC1CCCC1,0.5646
CCC1CCCC1,0.6199
CC1CCC(C1)C,0.5696
CC1CCCC1C,0.587
CCCC1CCCC1,0.7256
C1CCCCC1,0.9407
CC1CCCCC1,0.766
CCC1CCCCC1,0.8634
CC1(CCCCC1)C,0.8628
CC1CCCCC1C,1.0733
CC1CCCCC1C,0.8644
CC1CCCC(C1)C,0.89
CC1CCCC(C1)C,0.6645
CC1CCC(CC1)C,0.8797
CC1CCC(CC1)C,0.7491
CCCC1CCCCC1,1.001
CCCCC1CCCCC1,1.2539
C1CCCCCC1,1.4796
C1CCC(CC1)C1CCCCC1,2.9175
C1CCC2CCCCC2C1,2.6582
C1CCC2CCCCC2C1,1.815
CC=CC,0.271
CC=CC,0.2792
