SMILES,LHV
[C-]#[O+],10
CO,21
C#C,48
C=C,47
C1CO1,28
C=CO,26
CC=O,25
CC(=O)O,14
COC=O,16
CC,48
CCO,28
COC,29
C(CO)O,18
COOC,22
CCOO,21
C(O)OOCO,11
CC#C,46
CC=C,46
C1CC1,49
CC(=O)C,29
CCC=O,30
CC1CO1,31
C=CCO,31
C1COC1,31
CC(=O)OC,20
CCOC=O,21
CCC(=O)O,20
C1COCO1,22
CCC,46
CCCO,31
CC(C)O,31
CCOC,32
C(CO)CO,23
CC(CO)O,23
COCOC,24
CCCOO,25
C(C(CO)O)O,17
C=CC#C,45
C1C2=C1C2,50
C1=COC=C1,30
C=C(C#C)O,31
C=C1CC(=O)O1,22
C1CC(=O)OC1=O,15
C1C(=O)OCC(=O)O1,12
C=CC=C,45
CCC#C,46
CC#CC,45
CC=C=C,46
C1CC=C1,45
C/C=C/C=O,31
C1CC(=O)C1,32
CC(=O)C=C,31
CC(=O)C(=O)C,23
C1CC(=O)OC1,22
CC(=O)OC=C,23
COC(=O)C=C,23
CC1COC(=O)O1,17
COC(=O)C(=O)OC,13
CCC=C,45
C/C=C/C,45
C/C=C\C,45
C1CCC1,46
CC(=C)C,45
C1CCOC1,33
CCC(=O)C,32
CCCC=O,32
CC(C)C=O,32
CCOC(=O)C,24
CCCC(=O)O,23
C1COCCO1,25
C1COCOC1,25
COC1OCCO1,20
C1OCOCOCO1,16
CCCC,46
CC(C)C,46
CCCO,34
CC(C)O,34
CC(C)CO,34
CC(C)(C)O,33
CCOCC,34
CCCOC,34
CC(C)OC,34
COCCOC,27
C(CCO)CO,26
CC(CCO)O,26
COC(OC)OC,21
C1=COC(=C1)C=O,24
C1=COC(=C1)C(=O)O,18
C1C=CC=C1,43
CC(=C)C#C,45
C#CC1CC1,45
C/C=C/C#C,45
C/C=C\C#C,45
C1C2C1C=C2,46
C1=COC(=C1)CO,25
C1CC(=O)OC(=O)C1,19
C1CC=CC1,44
CC(=C)C=C,44
C/C=C/C=C,44
C=CCC=C,45
C/C=C\C=C,44
C=C1CCC1,45
CCCC#C,45
CC(=C=C)C,45
C1CC12CC2,46
C1CCC(=O)C1,33
C/C=C/C(=O)C,33
C1CC=COC1,34
CC(=C)C(=O)OC,26
CC(=O)CC(=O)C,25
C1CCOC(=O)C1,26
CC1CCC(=O)O1,25
CCOC(=O)C=C,26
C/C=C/C(=O)OC,26
COC(=O)C1CC1,26
CCC(=C)C(=O)O,25
COC(=O)CC(=O)OC,17
CC(C)(C(=O)O)C(=O)O,17
CC(=O)OCOC(=O)C,16
CCC(C(=O)O)C(=O)O,16
C1CCCC1,44
CCCC=C,45
CC=C(C)C,45
CC/C=C\C,45
CC/C=C/C,45
CCC(=C)C,45
CC(C)C=C,45
CC1(CC1)C,45
CCCC(=O)C,34
C1CCC(C1)O,34
CCC(=O)CC,34
CC(C)C(=O)C,34
C1CCOCC1,34
CC1(COC1)C,35
CC(C)CC(=O)O,26
CCC(=O)OCC,27
CCC(C)C(=O)O,26
CCCCC(=O)O,26
CC(C)OC(=O)C,26
CC1CCOCO1,27
C1CC(OC1)CO,27
CC1OCCCO1,27
CCOC(=O)OCC,21
C1COCOCCO1,23
CC(=O)OCCOC,22
C1COC(OC1)CO,22
C1OCOCOCOCO1,16
CCC(C)C,45
CCCCC,45
CC(C)(C)C,45
CCCCCO,35
CC(C)CCO,35
CCCC(C)O,35
CCC(C)CO,35
CCC(C)(C)O,35
CCC(CC)O,35
CC(C)(C)OC,36
CC(C)C(C)O,35
CCCCOC,36
CCCOCC,36
C(CCO)CCO,29
CCOCOCC,29
CC(C)(OC)OC,29
CCCC(CO)O,28
CC(OC)(OC)OC,24
COC(OC)(OC)OC,20
C1=CC#CC=C1,43
C#C/C=C\C#C,45
C#C/C=C/C#C,44
C1=CC=CC=C1,41
CC#CC#CC,44
C=C1C(=C)C1=C,45
C=CC1=CC=CO1,33
C1C=CC=CC1=O,32
C1C=CC(=O)C=C1,32
C1=CC=C(C=C1)O,32
C1=CC(=CC=C1O)O,26
C1=CC(=CC(=C1)O)O,25
C1=CC=C(C(=C1)O)O,26
C1=CC(=C(C(=C1)O)O)O,21
C1=C(C=C(C=C1O)O)O,21
COC(=O)C1=CC=CO1,21
