SMILES,MON
CCCCO,85
CCO,90
CO,89
CCCO,89
CC1=CC=CC=C1,103.67
CC1(C2CCC(O1)(CC2)C)C,91.2
C=C,75.6
CCC,97.1
CC(C)C,97.6
CCC(C)(C)C,93.4
C1C=CC2C1C3CC2C=C3,95.9
CCC(C)C,90.3
CC(=C)C=C,81
CC(C)CO,90
CCC(C)O,93
CCC(=O)C,105.5
CC(C)C(C)C,94.3
CC1=CC[C@@H]2C[C@H]1C2(C)C,57.3
C1C=CC2=CC=CC=C21,100.7
CC1=CC=CC=C1C,100
CC1=CC(=C(C=C1)C)C,104.4
CCC(C)CC,74.3
CCC(=O)CC,99.9
CC1CCCC1,80
CC1CCCO1,73
CCOC(=O)C(C)C,109.5
CCOC(=O)C(C)O,108.1
CC(C)(C)C1=CC=CC=C1,100.8
CC(C)C1=CC=CC=C1,99.3
CC1=CC=C(C=C1)C(C)C,97.7
C=CC1CCC=CC1,57.7
CCC1=CC=CC=C1,97.9
C=CC1=CC=CC=C1,100.2
COC1=CC=CC=C1,91
C1C=CC=C1,86.1
CCCC1=CC=CC=C1,98.7
CCCCC1=CC=CC=C1,94.25
CC1=CC=C(C=C1)OC,92
CCC1=CC=C(C=C1)CC,93.9
CCCC(=O)OCC,106.2
CC1=CC=C(C=C1)C,101.2
CCCCCC(=O)OC,84
CCCC,89.1
CCC=C,79.9
CC(=C)CC(C)(C)C,86.5
CC(=CC(C)(C)C)C,86.2
CCCC(C)C,73.5
CCCC(=O)C,103.27
CC(C)CC(C)C,83.8
CC(C)CC(=O)C,105.5
CC(C)OC(C)C,98.9
CC1=CC(=CC=C1)C,102.8
CC1=CC(=CC(=C1)C)C,112
CC1CCCCC1,71.05
C1CCC(=O)CC1,87.7
CCCCOC(=O)CCC,90.7
CCCCC,63.2
CCCC=C,77.1
C1CCOC1,64.8
C1=COC=C1,91.6
CC(C)COC(=O)C,112.3
CCCCCC(=O)C,78.1
CCCCCC,26
C1CCCCC1,77.2
C1CCC=CC1,63.4
C1CC=COC1,48.7
CCCCCCC=C,34.7
CCCCCC=CC,56.5
CC=C,84.9
CC(C)(C=C)O,95
C1CCC2=CC=CC=C2C1,81.9
C1CCC(=O)C1,89.4
CCC(C)C1=CC=CC=C1,95.7
CCC(C)CO,87.9
CCC1=CC(=CC=C1)CC,97
C1CC=CC1,69.7
C1CCOCC1,35.4
CCCCCCC,0
C1CCCC1,85
C1CCCCCC1,39.7
C1CCCCCCC1,58.2
C=CCC1=CC=CC=C1,100.1
CC(C)(C)C,80.2
CC(C)C(C)(C)C,101.3
CC1CCC2CC1C2(C)C,65.9
CC1=C(C(=C(C=C1)C)C)C,100
C1CCC2CCCC2C1,64.1
C1CC2=CC=CC=C2C1,89.8
CC#CC,70.2
CC=C(C)C,84.7
CC(=C)C(=C)C,83.4
CC1=C(C(=CC=C1)C)C,101.1
CC1=CC=CC=C1C(C)C,96
CC1=CC=CO1,86
CCCCCC1=CC=CC=C1,81.7
CC(C)CC1=CC=CC=C1,98
CC(C)CC(C)(C)C,100
CC(C)C(=O)OC,104.7
CC(=CCO)C,74
CC(C)(C)C=C,93.3
CCC(C)(C)C(C)C,99.4
CCC(C)(C)C(=C)C,85.7
CCC(C)(C)CC,86.6
CCCC(C)(C)CC,83.4
CCC(=C)C,81.9
CC(C)C(=C)C,82.8
CC(=C(C)C)C,80.5
CC(C)C(=O)C,102.2
