SMILES,PP
CCCCCCCCC=CCCCCCCCC(=O)OC(C)C,-21
CCCCCCCCC=CCCCCCCCC(=O)OCC(C)C,-50
CCCCCCCCC=CCCCCCCCC(=O)OCC(CC)CCCC,-35
CCCCCCCCC=CCCCCCCCC(=O)OCCCCCC(C)C,-29
CCCCCCCCC=CCCCCCCCC(=O)OCCCCCCCCCC,-3
CCCCCCCCC=CCCCCCCCC(=O)CCC(O)COC(=O)CCCCCCCC=CCCCCCCCC,0
CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,-68
CCCCC(CC)COC(=O)CCCCCCCC(=O)OCC(CC)CCCC,-64
CCCCC(CC)COC(=O)CCCCCCCCC(=O)OCC(CC)CCCC,-60
CCCCC(CC)COC(=O)CCCCCCCCCCC(=O)OCC(CCCC)CC,-57
CC(C)CCCCCCCOC(=O)CCCCC(=O)OCCCCCCCC(C)C,-62
CC(C)CCCCCCCOC(=O)CCCCCCCC(=O)OCCCCCCCC(C)C,-65
CC(C)CCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCC(C)C,-60
CC(C)CCCCCCCOC(=O)CCCCCCCCCCC(=O)OCCCCCCCC(C)C,-41
CC(C)CCCCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCCCCC(C)C,-51
CC(C)CCCCCCCCCCOC(=O)CCCCCCCC(=O)OCCCCCCCCCCC(C)C,-55
CC(C)CCCCCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCCCCC(C)C,-52
CC(C)CCCCCCCCCCOC(=O)CCCCCCCCCCC(=O)OCCCCCCCCCCC(C)C,-50
CC(C)CCCCCOC(=O)C1=C(C=CC=C1)C(=O)OCCCCCC(C)C,-42
CCCCC(CC)COC(=O)C1=C(C=CC=C1)C(=O)OCC(CC)CCCC,-43
CC(C)CCCCCCOC(=O)C1=C(C=CC=C1)C(=O)OCCCCCCC(C)C,-44
CC(C)CCCCCCCOC(=O)C1=CC=CC=C(C1)C(=O)OCCCCCCCC(C)C,-47
CC(C)CCCCCCCCCCOC(=O)C1=C(C=CC=C1)C(=O)OCCCCCCCCCCC(C)C,-43
CCCCCCCOC(=O)C1=CC=C(C=C1C(=O)OCCCCCCC)C(=O)OCCCCCCC,-45
CCCCCCCCCOC(=O)C1=CC=C(C=C1C(=O)OCCCCCCCCC)C(=O)OCCCCCCCCC,-45
CCCCCCCCOC(=O)C1=CC(=CC=C1C(=O)OCCCCCCCC)C(=O)OCCCCCCCC,-45
CCCCC(CC)COC(=O)C1=C(C(=O)OCC(CC)CCCC)C=C(C=C1)C(=O)OCC(CC)CCCC,-36
CC(C)CCCCCCCOC(=O)C1=C(C(=O)OCCCCCCCC(C)C)C=CC(=C1)C(=O)OCCCCCCCC(C)C,-30
CC(C)CCCCCCCCCCOC(=O)C1=C(C(=O)OCCCCCCCCCCC(C)C)C=CC(=C1)C(=O)OCCCCCCCCCCC(C)C,-9
CCCCC(CC)COC(=O)C1=CC(C(=O)OCC(CC)CCCC)=C(C(=O)OCC(CC)CCCC)C=C1C(=O)OCC(CC)CCCC,-27
CCCCCCCCCC(=O)OCC(C)(C)COC(=O)CCCCCCCCC,-55
CCCCCCCCC(=O)OCC(C)(C)COC(=O)CCCCCCCC,-33
CCCCCCCC\C=C/CCCCCCCC(=O)OCC(C)(C)COC(=O)CCCCCCC\C=C/CCCCCCCC,-24
CCCCC(CC)C(=O)OCC(C)(C)COC(=O)C(CC)CCCC,-54
CC(C)(C)CC(C)CC(=O)OCC(C)(C)COC(=O)CC(C)CC(C)(C)C,-45
CCCCCCCC(=O)OCC(CC)(COC(=O)CCCCCCC)COC(=O)CCCCCCC,-60
CCCCCCCCCC(=O)OCC(CC)(COC(=O)CCCCCCCCC)COC(=O)CCCCCCCCC,-51
CCCCCCCCC(=O)OCC(CC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,-43
CCCCCCCC\C=C/CCCCCCCC(=O)OCC(CC)(COC(=O)CCCCCCC\C=C/CCCCCCCC)COC(=O)CCCCCCC\C=C/CCCCCCC,-39
CCCCC(CC)C(=O)OCC(CC)(COC(=O)C(CC)CCCC)COC(=O)C(CC)CCCC,-50
CC(C)(C)CC(C)CC(=O)OCC(CC)(COC(=O)CC(C)CC(C)(C)(C))COC(=O)CC(C)CC(C)(C)(C),-32
