SMILES,RON
CCCCO,98
CCO,109
CO,109
CCCO,104
CC1=CC=CC=C1,118.17
CC1(C2CCC(O1)(CC2)C)C,99.2
C=C,97.3
CCC,111
CC(C)C,102.05
CCC(C)(C)C,91.8
C1C=CC2C1C3CC2C=C3,100.8
CCC(C)C,92.3
CC(=C)C=C,99.05
CC(C)CO,105
CCC(C)O,107
CCC(=O)C,105.3
CC(C)C(C)C,104.3
CC1=CC[C@@H]2C[C@H]1C2(C)C,80
C1C=CC2=CC=CC=C21,102.3
CC1=CC=CC=C1C,120
CC1=CC(=C(C=C1)C)C,108.6
CCC(C)CC,74.5
CCC(=O)CC,106.8
CC1CCCC1,91.3
CC1CCCO1,86
CCOC(=O)C(C)C,110.3
CCOC(=O)C(C)O,107.5
CC(C)(C)C1=CC=CC=C1,103
CC(C)C1=CC=CC=C1,102.1
CC1=CC=C(C=C1)C(C)C,110
C=CC1CCC=CC1,77
CCC1=CC=CC=C1,107
C=CC1=CC=CC=C1,103
COC1=CC=CC=C1,103.2
C1C=CC=C1,100.3
CCCC1=CC=CC=C1,111
CCCCC1=CC=CC=C1,102.2
CC1=CC=C(C=C1)OC,103.5
CCC1=CC=C(C=C1)CC,100.4
CCCC(=O)OCC,115.4
CC1=CC=C(C=C1)C,103.4
CCCCCC(=O)OC,87.3
CCCC,94
CCC=C,97.5
CC(=C)CC(C)(C)C,106
CC(=CC(C)(C)C)C,103.5
CCCC(C)C,73.4
CCCC(=O)C,105.7
CC(C)CC(C)C,83.1
CC(C)CC(=O)C,105.7
CC(C)OC(C)C,100.2
CC1=CC(=CC=C1)C,104
CC1=CC(=CC(=C1)C)C,106
CC1CCCCC1,73.9
C1CCC(=O)CC1,100.1
CCCCOC(=O)CCC,97
CCCCC,61.8
CCCC=C,87.9
C1CCOC1,72.9
C1=COC=C1,107.7
CC(C)COC(=O)C,108.7
CCCCCC(=O)C,69
CCCCCC,24.8
C1CCCCC1,83
C1CCC=CC1,83.9
C1CC=COC1,66.5
CCCCCCC=C,28.7
CCCCCC=CC,56.3
CC=C,101.8
CC(C)(C=C)O,102.7
C1CCC2=CC=CC=C2C1,96.4
C1CCC(=O)C1,104
CCC(C)C1=CC=CC=C1,100.7
CCC(C)CO,102
CCC1=CC(=CC=C1)CC,103
C1CC=CC1,93.3
C1CCOCC1,52.2
CCCCCCC,0
C1CCCC1,100.6
C1CCCCCC1,38.7
C1CCCCCCC1,71
C=CCC1=CC=CC=C1,102.1
CC(C)(C)C,85.5
CC(C)C(C)(C)C,112.1
CC1CCC2CC1C2(C)C,77.7
CC1=C(C(=C(C=C1)C)C)C,100.5
C1CCC2CCCC2C1,70
C1CC2=CC=CC=C2C1,100.3
CC#CC,85.9
CC=C(C)C,97.3
CC(=C)C(=C)C,99.2
CC1=C(C(=CC=C1)C)C,100.5
CC1=CC=CC=C1C(C)C,100.6
CC1=CC=CO1,103
CCCCCC1=CC=CC=C1,89.2
CC(C)CC1=CC=CC=C1,101.6
CC(C)CC(C)(C)C,100
CC(C)C(=O)OC,102.7
CC(=CCO)C,93.5
CC(C)(C)C=C,111.7
CCC(C)(C)C(C)C,106.1
CCC(C)(C)C(=C)C,106
CCC(C)(C)CC,80.8
CCCC(C)(C)CC,75.5
CCC(=C)C,98.3
CC(C)C(=C)C,101.3
CC(=C(C)C)C,97.4
CC(C)C(=O)C,99.5
CCC(C)C(C)(C)C,109.6
CCC(C)C(C)C,91.1
CC(C)C(C)C(C)C,100.2
CC(C)C(=C(C)C)C,96.6
CC(C)C(=O)C(C)C,99
CCC(C)C(C)CC,76.3
CCC(CC)O,103
CCCC(C)C(C)C,71.3
CCCC(C)CC,52
CCCC(=O)CC,101.9
CCC(C)CC(C)C,65.2
CCCC(C)CCC,26.7
CCCCC(C)CC,26.8
CC1CCC(CC1)C,68.3
CCCC(C)(C)C,92.8
CC1(CCCCC1)C,87.3
CCCCC(C)(C)C,72.5
CC1CCCC(C1)C,69.3
CC1CCC=CC1,84.1
CC1=CCCCC1,89.15
CCCCC(C)C,42.4
CC(C)CCC(C)C,55.2
CCCCCC(C)C,21.7
CCCCC=C,76.4
C=CCCC=C,71.1
CCC=CCC,94
C1CC=CC=C1,74.8
CCCCCC=C,54.5
CCCCC=CC,73.4
CCCC=CCC,89.8
CC1CC1,100.2
CC(=C)C(C)(C)C,100.5
CC(=C=C)C,61
CCC(CC)C(C)C,87.3
CCC1=CC=CC=C1C,100.2
CCC(=CC)C,97.2
CCC(CC)CC,65
CCCC(CC)CC,33.5
CCC1=CC=CC(=C1)C,101.8
CCCC(=O)OC,107.2
CCCCC(=O)OC,103.4
CCC=C(C)C,97.8
CC(C)C=C(C)C,100
CC1=CC=C(O1)C,101.3
CC(=C)CCC(=C)C,90.2
CCCCC=C(C)C,83.6
C1C=CCC=C1,75.4
CCCCCCC#C,50.5
CCC=CC,87.8
CC=CC(C)C,99.3
CC(C)CC=C,95.7
CC1=CCCC1,93.6
C=CC1CCCCC1,64.3
CC(C)C1CCCCC1,62.8
CCC(C)C=C,96
CCC(=C)CC,99.3
CC(C)(C)CC=C,104.4
CCCC(=C)C,94.2
CC(=CC=C(C)C)C,94.3
CC(=CC1=CC=CC=C1)C,100.5
CCC(=CC)CC,93.7
CCC(C)C(=O)OC,110.5
CCC1=C(C=C(C=C1)C)C,100.6
CCC1=CC=CC(=C1C)C,100.4
CCC1=CC(=CC(=C1)C)C,102.7
CC1CCC(O1)C,92.2
CC=C1CCCCC1,83
CCC(C)(CC)CC,80.8
CCC(CC)(CC)CC,84
CCC(C(C)C)C(C)C,105.3
CCCCCC(C)(C)C,50.3
CCCC1=CC=CC=C1C,100.3
CCCC1=CC=CC(=C1)C,101.8
CC1(C2CCC(=C)C1C2)C,80.6
C1CCC(C1)C2CCCC2,9.7
CC1(CCCC1)C,92.3
CCC1CCCC1,67.2
CC1=C(CCCC1)C,89.7
CCC1CCCCC1,46.5
CCCC1CCCCC1,17.8
CC1CCCC(C1C)C,83.4
CC(C)CC1CCCCC1,33.7
CCCCCCCCCC,39.8
CCC1=C(C=CC(=C1)C)C,100.6
C[C@@H]1CC[C@H](C1)C,80.6
CCCC#CCCC,59.6
CCCCC1CCCC1,3
CCCC1CCCC1,31.2
CCC(C)(C)C1=CC=CC=C1,100.7
C[C@@H]1CCCC[C@@H]1C,80.9
C[C@H]1CCC[C@H](C1)C,71.7
CC(C)CC(=C)C,99.2
C[C@@H]1CC[C@@H](C1)C,79.2
CCCC(C)C1=CC=CC=C1,100.3
CCCC=C(C)C,90.4
CC1CC(C(C1)C)C,89.2
CC1CCCC(C1)(C)C,81.3
CC(C)(C)C1CCCCC1,98.5
CC(C)C12CCC(=C)C1C2,106.5
CCCC(C)C=C,82.2
CCC(C)C(=C)C,99.3
CCC(C)(C)C=C,103.5
CC(C)CC=C(C)C,95.2
CCC1CCC(C1)C,57.6
CCC(C)CC=C,86.4
CC(C)C1CCCC1,81.1
CCC(CC)C=C,95.6
CCCC=CC,92.7
CC1CCC(C1)(C)C,81.7
CC(C)CCCC=C,63.6
CCCC(C)O,99.4
CCCCC(=C)C,90.7
C[C@@H]1CCCC[C@H]1C,80.9
CCC(C)C1CCCCC1,51
CCCC(=C(C)C)C,93.1
CCC(C)CC(C)(C)CC,86.4
CC(C)C(C)C=C,98.9
CCC(=C(C)C)C,97.5
CC1=CCC2C(C1)C2(C)C,73.5
CCCC(C)(C)C(C)(C)C,112.8
CC1(CCC=CC1)C,96.2
CCCCCC(=C)C,70.2
CCC(CC)C(C)(C)C,112.1
CCCC(=O)CCC,86.6
CC(C)CCO,98.8
CCCCCC(=O)OCC,76.5
CCCCOC(=O)C,101.1
CC(C)CCOC(=O)C,100.6
CCCCC=CCC,72.5
CC1CCCCC1(C)C,95.7
CC1CC(CC(C1)C)C,59.1
CCC1(CCCCC1)C,68.7
C/C=C/C,99.6
CCC1CC1,100.2
CCC1=CCCCC1,85.45
CC=C1CCCC1,82.4
CC(C)CCC=C,75.5
C=CCC1CCCC1,52.1
C=CC1CCCC1,69.3
CC(C)CC1CCCC1,33.4
CC1(CC1(C)C)C,100.5
CC(=C)C1CC1,94.4
CC1CC=CC(C1)(C)C,96.5
CCC1CCC=C1,90.8
CC1CC(CC=C1)(C)C,95.5
CCC(=C)C(C)C,97
CCOC(=O)C1CCC1,41.1
CCCC(C)C(=C)C,96.3
CC1CCC(C(C1)C)C,73
CCC(C)(C)C(C)(C)C,99.1
CC1CC1C,100.4
CCCC1CCCCC1C,30.4
C1CC1CC2CC2,95.1
CCC1=CCCC1,90.3
CCC1CC2CCC1C2,51.9
CC(C)C1CC1,100.02
CC1CC1(C)C,101.5
CC(C)CC#C,91.3
CCC1CCCCCC1,28
CCC(CC)C(=C)C,99.5
CCC(=C(C)C)CC,95.6
C/C=C/C(C)C,98
CCC=CCC(C)C,93.4
C[C@@H]1C[C@@H]1C,100.4
CCC1CCC1,41.1
C[C@@H]1C[C@H](C[C@@H]1C)C,89.2
C/C=C\C1=CC=CC=C1,100.5
C/C=C/C1=CC=CC=C1,100.4
CC1=C(CC(CC1)(C)C(=C)C)C,92.8
C[C@H]1CCC[C@@H](C1)C,66.9
CCC(C)(C)C1CCCCC1,90.4
CC1CC(C(C1)(C)C)C,96.2
CC/C=C/CC,94
CC(C)/C=C/C(C)C,101.9
C/C=C/C=C/C,97.1
CCCC/C=C/CC,72.5
CCC/C=C/C,92.7
CCCC/C=C/C,73.2
CC/C(=C/C)/C,97.2
C/C=C(/C)\C(C)C,96
C/C=C\C,100
C/C=C\C(C)(C)C,100.5
C/C=C/C(C)(C)C,105.3
C/C=C\C(C)C,99.7
CC/C=C(\C)/CC,96.4
CC/C=C/C(C)C,97.9
CCC/C(=C/C)/C,91.4
CCC/C(=C\C)/C,92.4
CCC(C)/C=C/C,96.8
C/C=C/CC(C)C,94.3
CCC/C=C/CCC,73.15
C/C=C(\C)/C(C)(C)C,103
CCC/C=C/C(C)C,94.4
CCC/C=C/CC,89.8
CC/C=C\C(C)(C)C,100.7
CC/C=C/C(C)(C)C,106
CCCCC/C=C/C,56.3
C/C=C/CCC(C)C,71.3
CC[C@@H]1CC[C@H](C1)C,57.6
CCC(C)(C)CC,80.8
