SMILES,YSI
C1=CC=C(C=C1)C2=CC=CC=C2C3=CC=CC=C3,1338.9
C1C2=CC=CC3=C2C4=C(C=CC=C41)C=C3,1312.8
C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,1291.9
C1=CC=C(C=C1)C2=CC(=CC=C2)C3=CC=CC=C3,1286.6
C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2,1250.1
C1=CC=C(C=C1)CC2=CC=C(C=C2)C3=CC=CC=C3,1192.6
CC1=C2C=CC=CC2=CC3=CC=CC=C13,1182.1
C1=CC=C(C=C1)C2=CC=CC3=CC=CC=C32,1103.7
C1=CC=C(C=C1)C(C2=CC=CC=C2)C3=CC=CC=C3,1093.3
C1CC2=CC=CC=C2CC3=CC=CC=C31,1067.2
CC1=C2CC3=CC=CC=C3C2=CC=C1,1014.9
C1C2=CC=CC=C2C3=CC=CC=C31,988.8
C1C2=CC=CC=C2CC3=CC=CC=C31,988.8
CC1=CC=CC=C1C2=CC=CC=C2C,983.5
C1=CC=C2C=C3C=CC=CC3=CC2=C1,962.6
C1CC2=CC=CC=C2C3=CC=CC=C31,952.2
C1=CC=C2C(=C1)C=CC3=CC=CC=C32,941.7
CC1=CC(=CC=C1)C2=CC=CC(=C2)C,931.3
C1C2=CC=CC=C2C=C1C3=CC=CC=C3,931.3
CC1=CC=C(C=C1)C2=CC=C(C=C2)C,899.9
CC1=CC=CC=C1C2=CC=CC=C2,863.3
CCCCCC1=CC=C(C=C1)C2=CC=CC=C2,863.3
CCCCC1=CC=C(C=C1)C2=CC=CC=C2,847.7
CCCC1=CC=C(C=C1)C2=CC=CC=C2,821.5
CCC1=CC=C(C=C1)C2=CC=CC=C2,811.1
C1CC2=CC=CC3=C2C1=CC=C3,805.8
CCC(C1=CC=CC=C1)C2=CC=CC=C2,805.8
CC1=C2C=CC=C(C2=CC=C1)C,779.7
CC1=CC(=CC=C1)C2=CC=CC=C2,779.7
CC1=CC2=C(C=C1)C=C(C=C2)C,774.5
CC1=CC=C(C=C1)C2=CC=CC=C2,769.3
CC1=CC2=CC=CC=C2C=C1C,748.4
CC1=C(C2=CC=CC=C2C=C1)C,743.1
CC1=CC2=CC=CC=C2C(=C1)C,743.1
C=C(C1=CC=CC=C1)C2=CC=CC=C2,743.1
CCC1=CC=CC2=CC=CC=C21,732.7
CC(C)(C1=CC=CC=C1)C2=CC=CC=C2,727.5
CC1=CC=C(C2=CC=CC=C12)C,711.8
CCC1=CC2=CC=CC=C2C=C1,701.3
CC1=CC=CC2=CC=CC=C12,649.1
CC1=CC2=CC=CC=C2C=C1,649.1
C1=CC=C(C=C1)C#CC2=CC=CC=C2,638.6
C1=CC=C(C=C1)C2=CC=CC=C2,612.5
C1=CC=C(C=C1)CC2=CC=CC=C2,612.5
CC1CCCC2=C(C=CC=C12)C,607.3
CC1=C(C(=C(C(=C1C)C)C)C)C,565.4
CC1=CC=C(C=C1)CCC2=CC=C(C=C2)C,549.8
CC1=CC(=C(C=C1)C)C#C,512.7
CC1=CC2=CC=CC=C2C1,500.1
C1=CC=C2C=CC=C2C=C1,492.3
CC1=CC=CC=C1C#C,485
CC1=CC(=C(C(=C1C)C)C)C,481.8
CCC#CC1=CC=CC=C1,480.8
C1=CC=C(C=C1)CCC2=CC=CC=C2,471.4
CC1=CC(=C(C=C1)C)C=C,469.3
C1CCC(=CC1)C2=CC=CC=C2,468
C1C=CC2=CC=CC=C21,467.7
C1CC2=CC=CC=C2C=C1,466.1
C1=CC=C2C=CC=CC2=C1,466.1
C#CCC1=CC=CC=C1,443.7
CCC1=CC=C(C=C1)C#C,442.6
C1CC2=CC=CC=C2C1,439.5
CC(=CC1=CC=CC=C1)C,436.9
CC#CC1=CC=CC=C1,427.5
C1=CC=C(C=C1)CCCC2=CC=CC=C2,413.9
CC1=CC=C(C=C1)C(C)(C)C,410.8
CC1=CC=CC=C1C=C,408.1
CC1=C(C(=C(C=C1)C)C)C,393
CC1=CC(=C(C=C1C)C)C,393
CC1=CC(=C(C(=C1)C)C)C,386.2
CC1=CC(=CC=C1)C#C,384.6
C1CCC(CC1)C2=CC=CC=C2,377.3
CCC1=CC=CC=C1CC,376.3
CC1=CC=C(C=C1)C#C,374.7
CC(C)C1=CC(=CC=C1)C(C)C,353.3
C/C=C/C1=CC=CC=C1,352.2
C1CC1C2=CC=CC=C2,343.9
C1CCC2=CC=CC=C2C1,336
CC1=CC=C(C=C1)C(C)C,330.3
CCCCCCCCCCCCCCC1=CC=CC=C1,330.3
CC1=CC(=CC=C1)C=C,322.4
CCC1=CC(=CC=C1)CC,320.9
C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,319.8
CCCCCCCCCCCCCC1=CC=CC=C1,319.8
CC1=CC=C(C=C1)C=C,318.8
CC1=C(C(=CC=C1)C)C,315.1
C=CCC1=CC=CC=C1,310.9
CC1=CC(=CC(=C1)C)C,310.9
CC1=CC(=C(C=C1)C)C,308.3
CCCCCCCCCCCCC1=CC=CC=C1,304.1
C#CCCC1=CC=CC=C1,298.9
CCCCCCCCCCCC1=CC=CC=C1,293.7
CC(C)(C)C1=CC=CC=C1,291.1
CC(=C)C1=CC=CC=C1,286.4
CCCCCCCCCC1=CC=CC=C1,283.2
CCCCCCCCCCC1=CC=CC=C1,283.2
CCC1=CC=CC(=C1)C,278
C=CCCC1=CC=CC=C1,275.9
CC(C)(C)CC1=CC=CC=C1,272.8
CCC1=CC=C(C=C1)CC,270.7
CCC1=CC=CC=C1C,267
CC(C)CCC1=CC=CC=C1,258.1
CC(C)CC1=CC=CC=C1,257.6
CCCCCCCC1=CC=CC=C1,257.1
CCCCCCCCC1=CC=CC=C1,257.1
CCC1=CC=C(C=C1)C,257.1
CCCCCC1=CC=CC=C1,255
CCCCCCC1=CC=CC=C1,246.7
CCCCC1=CC=CC=C1,245.1
C1=CC=C(C=C1)OC2=CC=CC=C2,241.4
CCCC1=CC=CC=C1,235.7
CCC1=CC=CC=C1,223.7
CC1=CC(=CC=C1)C,221.6
C#CC1=CC=CC=C1,216.3
CC1=CC=C(C=C1)C,211.1
CC1=CC=CC=C1C,204.8
CCC(C)C1=CC=CC=C1,199.1
CC1=CC2C3CC(C=C3C)C2C1,189.2
CC(C)C1=CC=CC=C1,187.6
CC1=CCC=CC1,175.6
C=CC1=CC=CC=C1,174
CC1=CC=CC=C1,170.9
CC(C)(C)C1=CCCCC1,161
C1C=CC2C1C3CC2C=C3,157.8
CCOC1=CC=CC=C1,112.3
COC1=CC=CC=C1,107.1
C1CCC2CCCCC2C1,105.5
C1C=CCC=C1,101.4
C1CCC(CC1)C2CCCCC2,100.3
C1=CC=CC=C1,100.3
CC(CC(C)(C)C)CC(C)(C)C,99.3
C1CC=CC=C1,98.8
CC1=CCCC1,97.7
CCCCCCCCCCC=C,90.3
CC(=CC(C)(C)C)C,89.3
CC(C)C(=C(C)C)C,87
CC1CCCC=C1,85
CC1CCC(C(C1)C)C,82.8
C1CC=CC1,80.5
C1CCC=CCC1,79
C1CCC/C=C\CC1,78
CCCCC1CCCCC1,76.8
CCCCCCCCC=C,74.8
CC(C)C1CCCCC1,74.7
CCCCCCC#C,74.1
CC(=C)C(C)(C)C,72.8
CCCCCCCCCCCC,71.7
CCCC1CCCCC1,69.2
CC(=C)CC(C)(C)C,68.5
CC1(CCCCC1)C,67.9
CC(=C)CCC=C,67.7
CC1CCCC(C1)C,67.6
CC1CCC(CC1)C,67.6
CC(C)(C)C(=O)C(C)(C)C,65.8
CCCCCCCCCCC,64.7
CCCCC=C(C)C,64.5
CCCCCCCC=C,64.4
CC(C)CCOCCC(C)C,63.6
CC(=C(C)C)C,62.4
COC1CCCC1,62.3
CC(CC=O)CC(C)(C)C,62.3
C1CCC=CC1,62.2
CC(C)CC(C)(C)C,61.7
CC1=CCCCC1,62
CC(C)(C)CC=C,61.4
CC1CCC=CC1,61
CC(C)C(C)C(C)C,60.9
CCC1CCCCC1,60.7
CCCCC(C)C(C)C,60.2
CCC(=CC)CC,59.8
CC(CC(C)(C)C)CO,59
CCC1CCCC1,58.6
C1CCCCCCC1,57.7
CCCCCCCCCC,57.2
CCCCCC(=C)C,56.6
CCC(C)CC(C)C,56.1
CC(C)CCC(C)C,56.1
CCCCCCC=C,56
CCC(C)CC=C,55.8
CC(C)CC(=O)CC(C)C,55.8
CC(C)C(C)(C)C,55.3
CCC(C)C(C)CC,55.2
CC1=CC=C(O1)C,55
CCC#CC,54.7
CCC(C)OC(C)CC,54
CCC(=CC)C,53.7
CCC=C(C)C,53.6
CC1CCCCC1,53.6
CC(C)C(=C)C,53.4
CC(C)(C)C=C,53.1
CCCCCCCCCC=O,52.8
CCCCC(C)(C)C,52.8
CCCCCCCCC(=O)C,51.9
CCCC(CCC)CO,50.5
CCCCC(CC)CO,50.4
CC1CCCC1,50.3
CCCCCCCC(=O)CC,50.2
CC(C)CC=C,50.2
CCCCCCCCC,50.1
C1CCCCCC1,50
CC(C)CC(C)C,49.6
CCC(C)C(C)C,49.4
CCCCCC(C)C,49.4
CCCCC(=C)C,49.1
CCCCC(C)CC,48.7
CCCCCC=C,48.4
CCCCC(CCCC)C=O,48.2
CCCC(C)CCC,48.1
CCC(C)(C)CC,47.7
CCCC(C)(C)C,47.4
CCCC#C,47.3
CCCCCCC(C)O,46.1
CCC(C(C)(C)C)O,46
CCC(=C)CC,45.6
CC/C=C/CC(=O)OC,45.3
CCC(C)C=C,45.1
CCCCCCCC(=O)C,45.1
CC(C)CCC(C)O,44.7
CC(C)C(C)C,44
CC(COC(C)(C)C)O,44
CCCCC(CCC)O,43.8
CCCCCCCCC=O,43.7
CC(C)CCOC(=O)C,43.6
CCCCCC(CC)O,43.6
CC=C(C)C,43.5
CCC(C)CC(=O)CC,43.5
CCC(C)(C)C,43.4
CCCCOC(=O)CC,43.3
CCCC(C)CC,43
CCCCCCC(=O)CC,43
CCCC(=C)C,42.9
C1CCCCC1,42.7
CC(=O)CC(C)(C)C,42.7
CC(C)C(=O)C(C)C,42.6
CCCCCCCC,42.6
CCCCC=C,42.4
CCCCC(C)C,42.4
C1CCC(CC1)O,42.3
CC(C)CC(C)O,42
CC/C=C(\C)/C(=O)OC,42
CC(C)C(C(C)C)O,41.9
CCCCC(C)(C)O,41.8
CCCCC(=O)CCCC,41.8
CCC(CC)CO,41.7
CCOC(=O)CCC=C,41.2
CCC(=O)OCC(C)C,41.1
CCCCCCCCO,41.1
CC(C)(C)CCO,40.9
CC(=O)C(C)(C)C,40.6
CC(C)C(C)(C)O,40.6
CCC(=O)OC(C)(C)C,40.5
CCC(CC)(CC)O,40.5
CC(C(C)(C)C)O,40.4
CCCCCOC(=O)C,40.4
CCOC(=O)C=C(C)C,39.5
C1CCCC1,39.4
CCCCCC(C)O,39.4
COC(=O)CCCC=C,39.2
CCCCCCCC(=O)OC,38.9
C/C=C/CC(=O)OC,38.8
CC(C)OC(C)C,38.7
CCCCOCCCC,38.7
CCCCC(CC)O,38.5
CCCC(CCC)O,38.5
CC(C)(C)CC=O,38.4
CC(C)CCOC=O,38.2
CCC(C)CC,38.2
CCC(C)(C)OC,38.1
C/C=C(\C)/C(=O)OC,38
CCOC(C)(C)C,37.9
CCCCCCC(=O)C,37.9
CCC(C)C(C)O,37.7
CCCCCCCC=O,37.5
CCCC(=O)OCCC,37.3
CCCOC(=O)C(=C)C,37.1
CCCC(C)C,36.7
CCOC(=O)CC(C)C,36.6
CCCCC(CC)C=O,36.6
CC(=CC(=O)OC)C,36.4
CCCC(C)(C)O,36.4
CCC(C)CCO,36.3
CCCC(=O)OC(C)C,36.3
CCCCOC(=O)C,36
CCCCCCC,36
CCCCCC(=O)CC,36
CCC/C=C/C(=O)OC,35.9
CCCC(=O)C(C)C,35.9
CCCC(C)CO,35.8
CCCCCOC=O,35.7
CC(C)CCCO,35.6
CCC(C)OC(=O)C,34.9
CC(C)COC(=O)C,34.8
CCCCCCCO,34.7
CCCOC(=O)OCCC,34.5
C1CCC(=O)CC1,34.3
CCCCC(C)O,34.1
CCOC(=O)C(=CC)C,34
CCCC(CC)O,33.9
CCCCCCC=O,33.8
CC/C=C/C(=O)OC,33.6
CC(C)C(C)O,33.3
COC(=O)CCC=C,33.3
CC(C)(CCO)OC,33.2
CCC(C)(C)O,32.9
CC(C)CC(=O)C,32.8
CC(=O)OC(C)(C)C,32.7
CCCCCCC(=O)OC,32.5
CCCCCC(=O)C,32.4
CCC(C)CO,32.3
CC(C)CCO,31.9
CCCOC(=O)CC,31.9
CCCCOCC(C)O,31.7
CC(C)(C)OC,31.5
CCCCOC=O,31
CC(C)(C)C(=O)OC,30.8
CCC(=O)C(C)C,30.7
CCCCC(=O)CC,30.7
CC(C)(C)C=O,30.6
CC(C)COC=O,30.4
CCCCCC,30.4
CCOC(=O)/C=C/C,30.3
CCCC(C)O,30.2
CC(C)(C)OC=O,30
CCCOC(=O)C=C,30
CCC(C)(C)C(=O)O,30
CCCCCCO,30
CCC(C)C(=O)OCC,29.3
CCC(CC)O,29.1
CC(=C)C(=O)OC,29
CCC(CC)C=O,29
CCC(C)C(=O)C,29
CCC(C)OC,28.6
CCCC(=O)CCC,28.5
CC(C)CC(=O)OC,28.4
CCCCC(=O)OCC,28.4
CCCOCCC,28
CC(C)CC=O,27.9
CCCC(C)C=O,27.6
CC(C)(C)O,27.5
C/C=C/C(=O)OC,27.3
CCC(OCC)OCC,27.3
CCCCCC=O,26.7
CCCCCC(=O)OC,26.7
CC(C)C(=O)C,26.6
C1CCOCC1,26.5
CC(C)CO,26.2
CCOC(=O)C(C)C,26.1
CCC(CC)C(=O)O,25.9
CCCOCC(C)O,25.8
CCCCC(=O)C,25.6
CC(C)OCCO,25.5
CCCC(=O)CC,25.5
CCCC(=O)OCC,25.5
CCCCCO,25.4
CCOC(=O)C(=C)C,25.4
CCCCOCCO,25.3
CC(C)(C=C)O,25
CCC(C)C(=O)OC,24.9
CCC(C)O,24.8
CCCCC,24.6
CCCOC(=O)C,24.4
CC(C)OC(=O)C,23.7
CCCCOC,23
CCC(C)C=O,22.7
CCOC(C)OCC,22.4
CCCCC(=O)OC,22.3
CC(C)C(=O)OC,22.2
COC1CCCCO1,22.1
CCCCO,22
CCOC(=O)C=C,22
C1CCC(=O)C1,22
CC(C)C=O,21.2
CCCC(=O)C,21.1
CCC(=O)CC,21.1
CCCCC=O,21.1
CCOCCOCC,20.4
C1CCOC1,20.3
CC(C)OC=O,20.3
CCCOC=O,20.3
CCC(=O)OCC,20.3
CCC(COC)O,19.8
COC(=O)C=C,19.4
CC(C)O,19.2
CCC1CO1,18.8
CC(C)C(=O)O,18.8
CCCC(=O)OC,18.6
CC(COC)OC,18.6
CCOCOCC,18.5
CCCC(=O)O,18.1
CCCOC,18
COCCCO,17.9
CCCC=O,17.6
CCC(=O)C,17.2
CCOCC,16.8
CC(COC)O,16.4
CC(C)(OC)OC,16.4
CCCO,16.2
COCCOCCOC,16.1
CCOCCO,15.7
CCOC(=O)OCC,15.3
CCC(=O)OC,15
COCCOCCO,15
CC(=O)C(OC)OC,14.8
COC(OC)(OC)OC,14.8
CC(OC)OC,14.2
CCC=O,13.9
CC(CO)O,13.7
CCOC(=O)C,13.4
CC(=O)C,13
COC(OC)OC,12.8
CC(OC)(OC)OC,12.7
COCCOC,11.8
CC(=O)OC,11.7
COCOC,10.9
COC(=O)OC,10.5
CCO,10.3
C1COCO1,10.3
C[C@@H](C(=O)OC)O,9.6
CCOC=O,9.2
C(CO)O,8.2
CO,6.6
