smiles,cn
CC1=CC=C(O1)C(C2=CC=CO2)C3=CC=C(O3)C,25.5
CCCCC1=CC=CO1,13.1
C1CCOCC1,38.2
CC1=CC=C(C)O1,10.9
C1C=CCO1,15.6
CC1=CC=C(O1)C(C2=CC=C(O2)C)C3=CC=C(O3)C,22.3
CCCCC1CCCO1,45.5
CC(CC1)OC1C(C2CCC(C)O2)C3CCC(C)O3,59.8
CC(CC1)OC1C(C2CCC(C)O2)C3CCCO3,60.4
C1=COC(=C1)CO,10.3
C1CC=COC1,23.9
CC1(C2CCC(O1)(CC2)C)C,18.8
CC1CCCO1,21.3
C1COC=C1,20
CCC1=CC=CO1,10.2
C1CCOC1,21.9
CCCCCCC(CCCC)CCCCCC,36
CC1CCOC(C1)C=C(C)C,30
CCC1CCCO1,28.1
CCC(CC(C)C)C(CC)CC(C)C,39
CC1=CC=CO1,9
CC1=CCC(=C(C)CCC=C(C)C)CC1,32.2
CC1=CCC(CC1)C(=C)C,18.9
CC1(C2CCC(=C)C1C2)C,21.3
CC1=CCC2CC1C2(C)C,23.1
CC(CCC=C(C)C)CCO,25.6
CCC=CCC=CCC=CCCCCCCCCO,41
CC(C)(CCO)OC,10
CC(C)CCCC(C)CCO,29.3
CO,5
C1CC(OC1)CO,17.9
CC(C)CO,8.5
CCCCCCCC(C)O,39.6
CCC(C)O,8.5
CCCCCCCCC=CCCCCCCCCO,51
CCCCCO,18.2
CCCCCCCCCO,45
CCCCCCC=CCCCCCCCCO,46
CCCCCCCO,29
CCCCCCCCCCO,50
C1CCC(CC1)O,16.3
CCCCCCO,23.3
CCCCCCCCCCCCCCO,80.8
CCCCCC=CCC=CCCCCCCCCO,44
CCCCC(CC)CO,23.5
CC(C)CCO,13.1
CCCO,12
CCCCO,12
CC(=CCCC(=CCCC(C)(C=C)O)C)C,19.2
CCCCCCCCO,39.1
CCCCCC(O)CC,25
CC(=CCCC(C)(C=C)O)C,16.5
CCCCCCCCCCCCCCCCO,68
CCCCCCCCCCCCO,63.6
CCC(C)(C)O,12.1
CCCCCCCCCCCO,53
C1CCC(C1)O,9.8
CC(=CCCC(=CCO)C)C,19.3
CCO,11
CCCCCCCC=O,102.5
CCCCCC=O,75.2
CCCCC=O,65.1
CCCC=O,41.1
C1CC(CC=C1)C=O,28.1
CC(C)C=O,21.1
C1=CC=C(C=C1)COCC2=CC=CC=C2,8.1
COC(C1=CC=CC=C1)OC,10.4
CC1=CC2=C(C=C1)C=C(C=C2)C,-7
CC(C)(C)C1=CC=CC=C1,-1
COC1=CC=C(C=C1)C=O,25.8
CCCCCCC1=CC=CC=C1,26
CC1=CC=CC2=CC=CC=C12,0
CC(=CCCCCCCCC)C1=CC=CC=C1,23
CCCCCCCCC1=CC2=CC=CC=C2C=C1,18
CC1=CC(=CC=C1)C,7
CCCCCCCCCCCCCCCC(C)(C)C1=CC=CC=C1,39
CC1=CC=C(C=C1)C(C)C,4
CC(C)(C)C1=CC2=CC=CC=C2C=C1,3
CCCCCCCC1=CC=CC=C1,35
CCCCCCCCC1CCCC2=CC=CC=C12,18
C1=CC=C(C=C1)CCC2=CC=CC=C2,1
C(CCCCCC)(CC)(CC)C2=CC1=CC=CC=C1C=C2,13
CCC(C)C1=CC=CC=C1,6
C(CCCC)(C2=CC1=CC=CC=C1C=C2)(C)C,10
C(CCCCCCCC)(C2=CC1=CC=CC=C1C=C2)(C)C,18
CCC1=CC(=CC=C1)CC,5
CCCCC1=CC=CC2=CC=CC=C21,6
C1CCC2CCCCC2C1,37.4
CC(C)(C)C1CCCC2=CC=CC=C12,17
CCCCCCCCCC(C)C1=CC=CC=C1,51
CCCCCCC(CCCCCC)C1=CC=CC=C1,41
CCCCC1=CC=CC=C1,12
CCCCCCCCC(CCC)C1=CC=CC=C1,42
CC(=CC1=CC=CC=C1)C=O,19.1
C(CCCC)(C2=CC1=CC=CC=C1C=C2)(C)CCCC,12
CCCCC1CCCC2=CC=CC=C12,18
CCCCCCCCCC1=CC=CC=C1,50
CC1=CC(C)=C(C)C=C1,8.9
CCCCCCCCCCCCC(C)C1=CC=CC=C1,49
C1CCC2=CC=CC=C2C1,8.9
C1CCC=CC1,18.1
CC(C)C1=CC=CC=C1,15
CCCCCCC(C)C1=CC=CC=C1,33
C1=C2C(=CC=C1)C(CCC2CCCCCCCC)CCCCCCCC,26
CC1=CC=CC=C1C,8
CC1=CCC(=CC1)C(C)C,20.3
CCCCCCCCCCCCCC(C)(C)C1=CC=CC=C1,39
COC1=CC=CC=C1OC,13.4
C1=CC=C(C=C1)CC2=CC=CC=C2,11
CCCCCCCCCCCCC1=CC=CC=C1,68
CCCCCCCCCCCCCCC1=CC=CC=C1,72
C1CC=CCCC=C1,25.7
COC,67
CCCCCCCCC=CCCCCCCCC(=O)OC(C)C,86.6
CCCCCCOC,99.8
CC(C)CCOCCC(C)C,96.2
CCCCCCCCC=CCCCCCCCC(=O)OCC(CC)CCCC,88
COC1CCCC1,47.3
CCCCCCCCCCCCCCCC(=O)OCC(CC)CCCC,98
CCCCCCCC(=O)OC,33.6
CCCCCCCCC=CCCCCCCCC(=O)OCCC,72
COCCCOCCCO,43.9
CC(OC(C)C)C,23.6
CCCCCCCCCC(=O)OC,52.7
CCCCCCCCCCCCCCCCCC(=O)OCCC,80.5
CCCCCCCCCCCCCCCCCC(=O)OC(C)CC,98
CCCCCCCCCCCCCCCCCC(=O)OC(C)C,97
CCCCCCCCCCCCCCCCCC(=O)O,62
CCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCC,100
CCCCCCCCC=CCCCCCCCC(=O)OCC(C)C,60
CCCCCCCCCCCCCC(=O)OCCCC,69.4
CCCCCCOC(=O)C,32.2
CCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCC)COC(=O)CCCCCCCCCCC,100
CCCCCC(=O)OC,25.3
CCCCC(=O)OC,13.3
CC(C)COCC(C)C,59.7
CCCC(=O)OC(COC(=O)CCC)COC(=O)CCC,7
O(C(=O)CCCCCCCC=CCCCCCCCC)C(C)CC,72
COCCOCCOCCO,80.7
COCCCCCCOC,88
COCCOC,81
CCCCCCCCCCCCCC(=O)OCC,67
CCCCCCCCCCCCCCCC(=O)OCCCC,89
CCCCCCCCCCCCCCCCCC(=O)OCCCC,86
CCC=CCC=CCC=CCCCCCCCC(=O)OC,37
CCCCCCCCCCCCCCCC(=O)OCC,80
COCCO,15.5
CCCCCCCCCCCCCCCCCC(=O)OC,86
CCCCOC(=O)CCC,18
CCCCCCCCCCCC(=O)OC,66.5
CC(OC)(OC)C,31.3
CCCCCCCCCCCCCCCC(=O)OC,85.9
CC=CC=CC(=O)OC,6
CCCCCCCCCC(=O)OCC,51
CCCCCCC=CCCCCCCCC(=O)OC,56.6
CCCCC(=O)OCCCC,23.5
CC(OCC)OCC,54.1
CCCCCCCCCCCC(=O)OC=C,77
CCCCOCC(C)O,36.1
COCCOCCOC,109
CCCCCCCCCCCCCCCC(=O)OC(C)CC,84.8
CCCCCCCCCC(=O)OCCCC,55
C=COCC1CCC(CC1)COC=C,61.1
CCCCCCCCC=CCCCCCCCC(=O)OC,56
C=COCCCCCCCCCCCC,101.7
CC(COC)O,16.3
CCCCCCCCCC(=O)OCCC,53
CCCOC(=O)CCCCCCCC=CCC=CCC=CCC,27
CCCCCCC(=O)OC,34.2
CCCCOC(=O)CCCCCCCC=CCC=CCC=CCC,29
CCCCCCCCCCCCCCCCCC(=O)OCC,76.8
CCCCCCCCC=CCCCCCCCC(=O)OCC,61
CCC=CCC=CCC=CCCCCCCCC(=O)O,20
CCCCCC=CCC=CCCCCCCCC(=O)OCCCC,54
CCCCC(=O)OCC,18.6
CCCCCCCCCCCCCCCC(=O)OCCC,85
CCCCC(=O)OCCC,20.7
